,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
347,0,0,0,0,0,0.0,574,1842,8048015
348,400,1501,3170,2,4,0.22646092298899842,1201,4279,8048015
349,0,0,0,0,0,0.0,538,2395,8048015
350,0,0,0,0,0,0.0,131,353,8048015
351,0,0,0,0,0,0.0,267,2699,8048015
352,18,25,1972,1,1,0.2544844496064008,72,163,8048015
353,0,0,0,0,0,0.0,37,1610,8048015
354,0,0,0,0,0,0.0,51,117,8048015
355,0,0,0,0,0,0.0,129,1691,8048015
356,0,0,0,0,0,0.0,62,99,8048015
357,0,0,0,0,0,0.0,316,2966,8048015
358,0,0,0,0,0,0.0,48,218,8048015
359,0,0,0,0,0,0.0,210,5443,8048015
360,0,0,0,0,0,0.0,17,48,8048015
361,0,0,0,0,0,0.0,39,117,8048015
362,0,0,0,0,0,0.0,28,148,8048015
363,268,874,5628,1,5,0.20496012236425215,1218,4803,8048015
364,0,0,0,0,0,0.0,601,2006,8048015
365,0,0,0,0,0,0.0,151,316,8048015
366,0,0,0,0,0,0.0,3,57,8048015
367,0,0,0,0,0,0.0,126,187,8048015
368,12,82,1974,1,1,0.21984630805212163,50,130,8048015
369,0,0,0,0,0,0.0,81,184,8048015
370,0,0,0,0,0,0.0,63,19322,8048015
371,0,0,0,0,0,0.0,113,5320,8048015
372,0,0,0,0,0,0.0,147,1008,8048015
373,0,0,0,0,0,0.0,42,355,8048015
374,0,0,0,0,0,0.0,19,63,8048015
375,0,0,0,0,0,0.0,24,98,8048015
376,0,0,0,0,0,0.0,23,133,8048015
377,0,0,0,0,0,0.0,36,277,8048015
378,0,0,0,0,0,0.0,37,1252,8048015
379,0,0,0,0,0,0.0,35,387,8048015
380,0,0,0,0,0,0.0,26,230,8048015
381,0,0,0,0,0,0.0,36,172,8048015
382,0,0,0,0,0,0.0,23,101,8048015
383,0,0,0,0,0,0.0,23,124,8048015
384,0,0,0,0,0,0.0,156,594,8048015
385,0,0,0,0,0,0.0,36,312,8048015
386,0,0,0,0,0,0.0,56,319,8048015
387,0,0,0,0,0,0.0,36,136,8048015
388,0,0,0,0,0,0.0,26,94,8048015
389,0,0,0,0,0,0.0,16,163,8048015
390,0,0,0,0,0,0.0,39,307,8048015
391,0,0,0,0,0,0.0,36,297,8048015
392,2293,10961,29161,5,26,0.22266594381619237,8875,51668,8048015
393,0,0,0,0,0,0.0,39,123,8048015
394,0,0,0,0,0,0.0,40,112,8048015
395,0,0,0,0,0,0.0,120,5164,8048015
396,0,0,0,0,0,0.0,62,3825,8048015
397,0,0,0,0,0,0.0,65,3114,8048015
398,0,0,0,0,0,0.0,86,17215,8048015
399,0,0,0,0,0,0.0,78,3043,8048015
400,0,0,0,0,0,0.0,58,1779,8048015
401,0,0,0,0,0,0.0,85,5795,8048015
402,0,0,0,0,0,0.0,58,4142,8048015
403,0,0,0,0,0,0.0,156,49314,8048015
404,0,0,0,0,0,0.0,94,4353,8048015
405,0,0,0,0,0,0.0,330,13177,8048015
406,0,0,0,0,0,0.0,87,2303,8048015
407,0,0,0,0,0,0.0,83,28917,8048015
408,0,0,0,0,0,0.0,69,13223,8048015
409,0,0,0,0,0,0.0,164,8444,8048015
410,0,0,0,0,0,0.0,123,335,8048015
411,0,0,0,0,0,0.0,142,848,8048015
412,0,0,0,0,0,0.0,64,396,8048015
413,0,0,0,0,0,0.0,55,215,8048015
414,0,0,0,0,0,0.0,67,246,8048015
415,0,0,0,0,0,0.0,63,958,8048015
416,0,0,0,0,0,0.0,49,289,8048015
417,6763,145189,24117,4,19,0.2168853476262849,19702,378656,8048015
418,0,0,0,0,0,0.0,49,431,8048015
419,0,0,0,0,0,0.0,31,137,8048015
420,0,0,0,0,0,0.0,39,194,8048015
421,0,0,0,0,0,0.0,21,54,8048015
422,0,0,0,0,0,0.0,250,728,8048015
423,277,1139,4632,2,6,0.2163778203391414,774,2793,8048015
424,0,0,0,0,0,0.0,62,1896,8048015
425,0,0,0,0,0,0.0,75,1640,8048015
426,0,0,0,0,0,0.0,69,1732,8048015
427,0,0,0,0,0,0.0,60,1113,8048015
428,0,0,0,0,0,0.0,81,2743,8048015
429,0,0,0,0,0,0.0,70,6043,8048015
430,0,0,0,0,0,0.0,52,156,8048015
431,0,0,0,0,0,0.0,55,200,8048015
432,0,0,0,0,0,0.0,48,192,8048015
433,0,0,0,0,0,0.0,143,348,8048015
434,0,0,0,0,0,0.0,75,277,8048015
435,0,0,0,0,0,0.0,47,214,8048015
436,0,0,0,0,0,0.0,506,6411,8048015
437,0,0,0,0,0,0.0,59,641,8048015
438,0,0,0,0,0,0.0,46,331,8048015
439,0,0,0,0,0,0.0,68,3680,8048015
440,0,0,0,0,0,0.0,56,24046,8048015
441,0,0,0,0,0,0.0,55,700,8048015
442,0,0,0,0,0,0.0,69,32181,8048015
443,0,0,0,0,0,0.0,77,2195,8048015
444,0,0,0,0,0,0.0,67,2756,8048015
445,0,0,0,0,0,0.0,29,126,8048015
446,0,0,0,0,0,0.0,44,96,8048015
447,0,0,0,0,0,0.0,30,138,8048015
448,0,0,0,0,0,0.0,179,3465,8048015
449,0,0,0,0,0,0.0,219,1560,8048015
450,0,0,0,0,0,0.0,164,80855,8048015
451,0,0,0,0,0,0.0,167,29599,8048015
452,0,0,0,0,0,0.0,89,1758,8048015
453,0,0,0,0,0,0.0,165,1659,8048015
454,0,0,0,0,0,0.0,41,257,8048015
455,0,0,0,0,0,0.0,99,4631,8048015
456,0,0,0,0,0,0.0,182,17644,8048015
457,0,0,0,0,0,0.0,81,108767,8048015
458,0,0,0,0,0,0.0,56,231,8048015
459,0,0,0,0,0,0.0,228,1144,8048015
460,0,0,0,0,0,0.0,254,1379,8048015
461,0,0,0,0,0,0.0,76,5794,8048015
462,0,0,0,0,0,0.0,88,7583,8048015
463,0,0,0,0,0,0.0,95,3935,8048015
464,0,0,0,0,0,0.0,49,78,8048015
465,0,0,0,0,0,0.0,81,9327,8048015
466,0,0,0,0,0,0.0,41,175,8048015
467,0,0,0,0,0,0.0,42,191,8048015
468,0,0,0,0,0,0.0,38,162,8048015
